cloudy,cloud.png
fog,fog.png
mostlysunny,lightcloud.png
chancerain,lightrain.png
mostlycloudy,lightrainsun.png
chancerain,lightrainthunder.png
chancerain,lightrainthundersun.png
unknown,nodata.png
mostlysunny,partlycloud.png
rain,rain.png
tstorms,rainthunder.png
sleet,sleet.png
chancesleet,sleetsun.png
chancesleet,sleetsunthunder.png
chancetstorms,sleetthunder.png
snow,snow.png
chancesnow,snowsun.png
chancesnow,snowsunthunder.png
flurries,snowthunder.png
clear,sun.png
nt_cloudy,cloud-night.png
nt_fog,fog-night.png
nt_mostlysunny,lightcloud-night.png
nt_chancerain,lightrain-night.png
nt_mostlycloudy,lightrainsun-night.png
nt_chancerain,lightrainthunder-night.png
nt_chancerain,lightrainthundersun-night.png
nt_unknown,nodata-night.png
nt_mostlysunny,partlycloud-night.png
nt_rain,rain-night.png
nt_tstorms,rainthunder-night.png
nt_sleet,sleet-night.png
nt_chancesleet,sleetsun-night.png
nt_chancesleet,sleetsunthunder-night.png
nt_chancetstorms,sleetthunder-night.png
nt_snow,snow-night.png
nt_chancesnow,snowsun-night.png
nt_chancesnow,snowsunthunder-night.png
nt_flurries,snowthunder-night.png
nt_clear,sun-night.png
